<eps>	sil 
kỵ	k iː˨˩ˀ 
kỷ	k iː˨˩˨ 
kỹ	k iː˨ˀ˥ 
la	l aː˨˥ 
lai	l aː˨˥ j 
lam	l aː˨˥ m 
lan	l aː˨˥ ŋ 
lang	l aː˨˥ ŋ 
lanh	l a˨˥ n 
lao	l aː˨˥ w 
lat	l aː˨˥ k 
lau	l a˨˥ w 
lay	l a˨˥ j 
le	l ɛː˨˥ 
lem	l ɛː˨˥ m 
len	l ɛː˨˥ ŋ 
leo	l ɛː˨˥ w 
li	l iː˨˨ 
lia	l iə˨˥ 
lim	l iː˨˨ m 
linh	l i˨˨ ɲ 
liu	l iː˨˨ w 
liêm	l iə˨˨ m 
liên	l iə˨˨ n 
liêng	l iə˨˨ ŋ 
liêu	l iə˨˨ w 
liếc	l iə˦˥ k 
liếm	l iə˨˦ m 
liềm	l iə˨˨ m 
liền	l iə˨˨ n 
liều	l iə˨˨ w 
liễu	l iə˨ˀ˥ w 
liện	l iə˨˩ˀ n 
liệng	l iə˨˩ˀ ŋ 
liệt	l iə˨˩ t 
liệu	l iə˨˩ˀ w 
lo	l ɔː˨˥ 
loa	l w aː˨˥ 
loan	l w aː˨˥ ŋ 
loang	l w aː˨˥ ŋ 
loay	l w a˨˥ j 
lon	l ɔː˨˥ ŋ 
long	l ɔ˨˥ ŋm 
loà	l w aː˦˨ 
loài	l w aː˦˨ j 
loàn	l w aː˦˨ ŋ 
loá	l w aː˦˥ 
loán	l w aː˦˥ ŋ 
loãng	l w aː˨ˀ˥ ŋ 
loè	l w ɛː˦˨ 
loé	l w ɛː˦˥ 
loét	l w ɛː˦˥ k 
loại	l w aː˨˩ j 
loạn	l w aː˨˩ ŋ 
loạt	l w aː˨˩ k 
lu	l uː˨˨ 
lui	l uː˨˨ j 
lung	l u˨˥ ŋm 
luyến	l w iə˨˦ n 
luyện	l w iə˨˩ˀ n 
luân	l w ə˨˥ ŋ 
luôn	l uə˨˨ n 
luận	l w ə˨˩ ŋ 
luật	l w ə˨˩ k 
luốc	l uə˦˥ k 
luống	l uə˨˦ ŋ 
luồn	l uə˨˨ n 
luồng	l uə˨˨ ŋ 
luộc	l uə˨˩ k 
luỹ	l w iː˨ˀ˥ 
ly	l iː˨˨ 
là	l aː˦˨ 
lài	l aː˦˨ j 
làm	l aː˦˨ m 
làn	l aː˦˨ ŋ 
làng	l aː˦˨ ŋ 
lành	l a˦˨ n 
lào	l aː˦˨ w 
lá	l aː˦˥ 
lác	l aː˦˥ k 
lách	l a˦˥ c 
lái	l aː˦˥ j 
lán	l aː˦˥ ŋ 
láng	l aː˦˥ ŋ 
lánh	l a˦˥ n 
láo	l aː˦˥ w 
lát	l aː˦˥ k 
láy	l a˦˥ j 
lâm	l ə˨˥ m 
lân	l ə˨˥ ŋ 
lâu	l ə˨˥ w 
lây	l ə˨˥ j 
lãi	l aː˨ˀ˥ j 
lãm	l aː˨ˀ˥ m 
lãng	l aː˨ˀ˥ ŋ 
lãnh	l a˨ˀ˥ ɲ 
lão	l aː˨ˀ˥ w 
lè	l ɛː˦˨ 
lé	l ɛː˦˥ 
lén	l ɛː˦˥ ŋ 
léo	l ɛː˦˥ w 
lép	l ɛː˦˥ p 
lét	l ɛː˦˥ k 
lê	l eː˨˥ 
lên	l eː˨˨ n 
lênh	l e˨˨ ɲ 
lêu	l eː˨˥ w 
lì	l iː˨˨ 
lìa	l iə˦˨ 
lìm	l iː˨˨ m 
lìn	l iː˨˨ n 
lí	l iː˨˦ 
lính	l i˨˦ ɲ 
líp	l iː˦˥ p 
lít	l iː˦˥ t 
líu	l iː˨˦ w 
lò	l ɔː˦˨ 
lòi	l ɔː˦˨ j 
lòm	l ɔː˦˨ m 
lòn	l ɔː˦˨ ŋ 
lòng	l ɔ˦˨ ŋm 
ló	l ɔː˦˥ 
lóc	l ɔ˦˥ kp 
lóng	l ɔ˦˥ ŋm 
lót	l ɔː˦˥ k 
lô	l oː˨˥ 
lôi	l oː˨˥ j 
lông	l o˨˨ ŋm 
lõ	l ɔː˨ˀ˥ 
lõi	l ɔː˨ˀ˥ j 
lõm	l ɔː˨ˀ˥ m 
lõng	l ɔ˨ˀ˥ ŋm 
lù	l uː˨˨ 
lùa	l uə˦˨ 
lùi	l uː˨˨ j 
lùm	l uː˨˨ m 
lùn	l uː˨˨ n 
lùng	l u˦˨ ŋm 
lú	l uː˨˦ 
lúa	l uə˦˥ 
lúc	l u˦˥ kp 
lún	l uː˨˦ n 
lúng	l u˦˥ ŋm 
lý	l iː˨˦ 
lăk	l a˨˥ k 
lăm	l a˨˥ m 
lăn	l a˨˥ ŋ 
lăng	l a˨˥ ŋ 
lĩnh	l i˨ˀ˥ ɲ 
lũ	l uː˨ˀ˥ 
lũng	l u˨ˀ˥ ŋm 
lũy	l uː˨ˀ˥ j 
lơ	l əː˨˥ 
lơi	l əː˨˥ j 
lơn	l əː˨˥ ŋ 
lư	l ɨː˨˨ 
lưng	l ɨ˨˥ ŋ 
lưu	l ɨ˨˥ w 
lươn	l ɨə˨˨ n 
lương	l ɨə˨˨ ŋ 
lưới	l ɨə˨˦ j 
lướt	l ɨə˦˥ t 
lười	l ɨə˨˨ j 
lườm	l ɨə˨˨ m 
lườn	l ɨə˨˨ n 
lường	l ɨə˨˨ ŋ 
lưỡi	l ɨə˨ˀ˥ j 
lưỡng	l ɨə˨ˀ˥ ŋ 
lược	l ɨə˨˩ k 
lượm	l ɨə˨˩ˀ m 
lượn	l ɨə˨˩ˀ n 
lượng	l ɨə˨˩ˀ ŋ 
lượt	l ɨə˨˩ t 
lạ	l aː˨˩ 
lạc	l aː˨˩ k 
lạch	l a˨˩ c 
lại	l aː˨˩ j 
lạm	l aː˨˩ m 
lạng	l aː˨˩ ŋ 
lạnh	l a˨˩ n 
lạp	l aː˨˩ p 
lạt	l aː˨˩ k 
lạy	l a˨˩ j 
lả	l aː˨˨ˀ 
lảng	l aː˨˨ˀ ŋ 
lảo	l aː˨˨ˀ w 
lấm	l ə˦˥ m 
lấn	l ə˦˥ ŋ 
lấp	l ə˦˥ p 
lấy	l ə˦˥ j 
lầm	l ə˦˨ m 
lần	l ə˦˨ ŋ 
lầu	l ə˦˨ w 
lầy	l ə˦˨ j 
lẩm	l ə˨˨ˀ m 
lẩn	l ə˨˨ˀ ŋ 
lẩu	l ə˨˨ˀ w 
lẩy	l ə˨˨ˀ j 
lẫm	l ə˨ˀ˥ m 
lẫn	l ə˨ˀ˥ n 
lẫy	l ə˨ˀ˥ j 
lận	l ə˨˩ ŋ 
lập	l ə˨˩ p 
lật	l ə˨˩ k 
lậu	l ə˨˩ w 
lắc	l a˦˥ k 
lắm	l a˦˥ m 
lắng	l a˦˥ ŋ 
lắp	l a˦˥ p 
lằn	l a˦˨ ŋ 
lẳng	l a˨˨ˀ ŋ 
lẵng	l a˨ˀ˥ ŋ 
lặn	l a˨˩ ŋ 
lặng	l a˨˩ ŋ 
lặp	l a˨˩ p 
lặt	l a˨˩ k 
lẹ	l ɛː˨˩ 
lẹo	l ɛː˨˩ w 
lẻ	l ɛː˨˨ˀ 
lẻn	l ɛː˨˨ˀ ŋ 
lẽ	l ɛː˨ˀ˥ 
lẽo	l ɛː˨ˀ˥ w 
lết	l eː˦˥ t 
lề	l eː˦˨ 
lềnh	l e˨˨ ɲ 
lều	l eː˦˨ w 
lễ	l eː˨ˀ˥ 
lệ	l eː˨˩ 
lệch	l e˨˩ c 
lệnh	l e˨˩ˀ ɲ 
lỉnh	l i˨˩˨ ɲ 
lị	l iː˨˩ˀ 
lịa	l iə˨˩ 
lịch	l i˨˩ c 
lịm	l iː˨˩ˀ m 
lọ	l ɔː˨˩ 
lọc	l ɔ˨˩ kp 
lọi	l ɔː˨˩ j 
lọn	l ɔː˨˩ ŋ 
lọng	l ɔ˨˩ ŋm 
lọt	l ɔː˨˩ k 
lỏi	l ɔː˨˨ˀ j 
lỏm	l ɔː˨˨ˀ m 
lỏng	l ɔ˨˨ˀ ŋm 
lố	l oː˦˥ 
lốc	l o˦˥ kp 
lối	l oː˦˥ j 
lốp	l oː˦˥ p 
lốt	l oː˦˥ t 
lồ	l oː˦˨ 
lồi	l oː˦˨ j 
lồn	l oː˨˨ n 
lồng	l o˨˨ ŋm 
lỗ	l oː˨ˀ˥ 
lỗi	l oː˨ˀ˥ j 
lộ	l oː˨˩ 
lộc	l o˨˩ kp 
lội	l oː˨˩ j 
lộn	l oː˨˩ˀ n 
lộng	l o˨˩ˀ ŋm 
lộp	l oː˨˩ p 
lột	l oː˨˩ t 
lớn	l əː˦˥ ŋ 
lớp	l əː˦˥ p 
lờ	l əː˦˨ 
lời	l əː˦˨ j 
lờn	l əː˦˨ ŋ 
lở	l əː˨˨ˀ 
lởi	l əː˨˨ˀ j 
lỡ	l əː˨ˀ˥ 
lợi	l əː˨˩ j 
lợm	l əː˨˩ m 
lợn	l əː˨˩ ŋ 
lợp	l əː˨˩ p 
lụa	l uə˨˩ 
lục	l u˨˩ kp 
lụm	l uː˨˩ˀ m 
lụt	l uː˨˩ t 
lụy	l uː˨˩ˀ j 
lủi	l uː˨˩˨ j 
lủng	l u˨˨ˀ ŋm 
lứa	l ɨə˦˥ 
lức	l ɨ˦˥ k 
lừa	l ɨə˦˨ 
lừng	l ɨ˦˨ ŋ 
lửa	l ɨə˨˨ˀ 
lửng	l ɨ˨˨ˀ ŋ 
lữ	l ɨː˨ˀ˥ 
lữa	l ɨə˨ˀ˥ 
lự	l ɨː˨˩ˀ 
lựa	l ɨə˨˩ 
lực	l ɨ˨˩ k 
lựu	l ɨ˨˩ w 
ma	m aː˨˥ 
mai	m aː˨˥ j 
man	m aː˨˥ ŋ 
mang	m aː˨˥ ŋ 
manh	m a˨˥ n 
mau	m a˨˥ w 
may	m a˨˥ j 
me	m ɛː˨˥ 
men	m ɛː˨˥ ŋ 
meo	m ɛː˨˥ w 
mi	m iː˨˨ 
min	m iː˨˨ n 
minh	m i˨˨ ɲ 
miu	m iː˨˨ w 
miên	m iə˨˨ n 
miêu	m iə˨˨ w 
miến	m iə˨˦ n 
miếng	m iə˨˦ ŋ 
miết	m iə˦˥ t 
miếu	m iə˨˦ w 
miền	m iə˨˨ n 
miểng	m iə˨˩˨ ŋ 
miễn	m iə˨ˀ˥ n 
miện	m iə˨˩ˀ n 
miệng	m iə˨˩ˀ ŋ 
miệt	m iə˨˩ t 
mo	m ɔː˨˥ 
moa	m w aː˨˥ 
moi	m ɔː˨˥ j 
mong	m ɔ˨˥ ŋm 
moóc	m ɔː˦˥ k 
moạ	m w aː˨˩ 
moả	m w aː˨˨ˀ 
mu	m uː˨˨ 
mua	m uə˨˥ 
mui	m uː˨˨ j 
mun	m uː˨˨ n 
muôi	m uə˨˨ j 
muôn	m uə˨˨ n 
muông	m uə˨˨ ŋ 
muối	m uə˨˦ j 
muốn	m uə˨˦ n 
muống	m uə˨˦ ŋ 
muỗi	m uə˨ˀ˥ j 
muỗng	m uə˨ˀ˥ ŋ 
muội	m uə˨˩ˀ j 
muộn	m uə˨˩ˀ n 
mà	m aː˦˨ 
mài	m aː˦˨ j 
màn	m aː˦˨ ŋ 
màng	m aː˦˨ ŋ 
mành	m a˦˨ n 
mào	m aː˦˨ w 
màu	m a˦˨ w 
mày	m a˦˨ j 
má	m aː˦˥ 
mác	m aː˦˥ k 
mách	m a˦˥ c 
mái	m aː˦˥ j 
mán	m aː˦˥ ŋ 
máng	m aː˦˥ ŋ 
mánh	m a˦˥ n 
máo	m aː˦˥ w 
mát	m aː˦˥ k 
máu	m a˦˥ w 
máy	m a˦˥ j 
mâm	m ə˨˥ m 
mân	m ə˨˥ ŋ 
mâu	m ə˨˥ w 
mây	m ə˨˥ j 
mã	m aː˨ˀ˥ 
mãi	m aː˨ˀ˥ j 
mãn	m aː˨ˀ˥ n 
mãnh	m a˨ˀ˥ ɲ 
mão	m aː˨ˀ˥ w 
mãu	m a˨ˀ˥ w 
mè	m ɛː˦˨ 
mèm	m ɛː˦˨ m 
mèo	m ɛː˦˨ w 
mé	m ɛː˦˥ 
méc	m ɛː˦˥ k 
mén	m ɛː˦˥ ŋ 
méo	m ɛː˦˥ w 
mép	m ɛː˦˥ p 
mét	m ɛː˦˥ k 
mê	m eː˨˥ 
mênh	m e˨˨ ɲ 
mì	m iː˨˨ 
mìn	m iː˨˨ n 
mình	m i˨˨ ɲ 
mí	m iː˨˦ 
mía	m iə˦˥ 
mím	m iː˨˦ m 
mít	m iː˦˥ t 
mò	m ɔː˦˨ 
mòi	m ɔː˦˨ j 
mòn	m ɔː˦˨ ŋ 
mòng	m ɔ˦˨ ŋm 
mó	m ɔː˦˥ 
móc	m ɔ˦˥ kp 
móm	m ɔː˦˥ m 
món	m ɔː˦˥ ŋ 
móng	m ɔ˦˥ ŋm 
móp	m ɔː˦˥ p 
mót	m ɔː˦˥ k 
mô	m oː˨˥ 
môi	m oː˨˥ j 
môn	m oː˨˨ n 
mông	m o˨˨ ŋm 
mõ	m ɔː˨ˀ˥ 
mù	m uː˨˨ 
mùa	m uə˦˨ 
mùi	m uː˨˨ j 
mùn	m uː˨˨ n 
mùng	m u˦˨ ŋm 
múa	m uə˦˥ 
múc	m u˦˥ kp 
múi	m uː˨˦ j 
múp	m uː˦˥ p 
mút	m uː˦˥ t 
măm	m a˨˥ m 
măng	m a˨˥ ŋ 
mĩ	m iː˨ˀ˥ 
mũ	m uː˨ˀ˥ 
mũi	m uː˨ˀ˥ j 
mơ	m əː˨˥ 
mơn	m əː˨˥ ŋ 
mưa	m ɨə˨˥ 
mưu	m ɨ˨˥ w 
mươi	m ɨə˨˨ j 
mương	m ɨə˨˨ ŋ 
mướn	m ɨə˨˦ n 
mướp	m ɨə˦˥ p 
mướt	m ɨə˦˥ t 
mười	m ɨə˨˨ j 
mường	m ɨə˨˨ ŋ 
mượn	m ɨə˨˩ˀ n 
mượt	m ɨə˨˩ t 
mạ	m aː˨˩ 
mạc	m aː˨˩ k 
mạch	m a˨˩ c 
mại	m aː˨˩ j 
mạn	m aː˨˩ ŋ 
mạng	m aː˨˩ ŋ 
mạnh	m a˨˩ n 
mạo	m aː˨˩ w 
mạt	m aː˨˩ k 
mả	m aː˨˨ˀ 
mải	m aː˨˨ˀ j 
mảng	m aː˨˨ˀ ŋ 
mảnh	m a˨˨ˀ n 
mảy	m a˨˨ˀ j 
mấn	m ə˦˥ ŋ 
mất	m ə˦˥ k 
mấu	m ə˦˥ w 
mấy	m ə˦˥ j 
mầm	m ə˦˨ m 
mần	m ə˦˨ ŋ 
mầu	m ə˦˨ w 
mầy	m ə˦˨ j 
mẩn	m ə˨˨ˀ ŋ 
mẩu	m ə˨˨ˀ w 
mẩy	m ə˨˨ˀ j 
mẫn	m ə˨ˀ˥ n 
mẫu	m ə˨ˀ˥ w 
mận	m ə˨˩ ŋ 
mập	m ə˨˩ p 
mật	m ə˨˩ k 
mậu	m ə˨˩ w 
mắc	m a˦˥ k 
mắm	m a˦˥ m 
mắn	m a˦˥ ŋ 
mắng	m a˦˥ ŋ 
mắt	m a˦˥ k 
mẳn	m a˨˨ˀ ŋ 
mặc	m a˨˩ k 
mặn	m a˨˩ ŋ 
mặt	m a˨˩ k 
mẹ	m ɛː˨˩ 
mẹo	m ɛː˨˩ w 
mẻ	m ɛː˨˨ˀ 
mẽ	m ɛː˨ˀ˥ 
mến	m eː˨˦ n 
mếu	m eː˦˥ w 
mề	m eː˦˨ 
mềm	m eː˦˨ m 
mền	m eː˨˨ n 
mễ	m eː˨ˀ˥ 
mệ	m eː˨˩ 
mệnh	m e˨˩ˀ ɲ 
mệt	m eː˨˩ t 
mỉ	m iː˨˩˨ 
mỉa	m iə˨˨ˀ 
mỉm	m iː˨˩˨ m 
mị	m iː˨˩ˀ 
mịn	m iː˨˩ˀ n 
mịt	m iː˨˩ t 
mọc	m ɔ˨˩ kp 
mọi	m ɔː˨˩ j 
mọn	m ɔː˨˩ ŋ 
mọng	m ɔ˨˩ ŋm 
mọt	m ɔː˨˩ k 
mỏ	m ɔː˨˨ˀ 
mỏi	m ɔː˨˨ˀ j 
mỏng	m ɔ˨˨ˀ ŋm 
mốc	m o˦˥ kp 
mối	m oː˦˥ j 
mống	m o˨˦ ŋm 
mốt	m oː˦˥ t 
mồ	m oː˦˨ 
mồi	m oː˦˨ j 
mồm	m oː˦˨ m 
mồng	m o˨˨ ŋm 
mổ	m oː˨˨ˀ 
mỗi	m oː˨ˀ˥ j 
mộ	m oː˨˩ 
mộc	m o˨˩ kp 
mộng	m o˨˩ˀ ŋm 
một	m oː˨˩ t 
mớ	m əː˦˥ 
mới	m əː˦˥ j 
mớm	m əː˦˥ m 
mờ	m əː˦˨ 
mời	m əː˦˨ j 
mở	m əː˨˨ˀ 
mỡ	m əː˨ˀ˥ 
mợ	m əː˨˩ 
mụ	m uː˨˩ˀ 
mục	m u˨˩ kp 
mụn	m uː˨˩ˀ n 
mụp	m uː˨˩ p 
mụt	m uː˨˩ t 
mủ	m uː˨˩˨ 
mủi	m uː˨˩˨ j 
mủn	m uː˨˩˨ n 
mứa	m ɨə˦˥ 
mức	m ɨ˦˥ k 
mứt	m ɨ˦˥ k 
mừng	m ɨ˦˨ ŋ 
mửa	m ɨə˨˨ˀ 
mực	m ɨ˨˩ k 
mỹ	m iː˨ˀ˥ 
na	n aː˨˥ 
nai	n aː˨˥ j 
nam	n aː˨˥ m 
nan	n aː˨˥ ŋ 
nang	n aː˨˥ ŋ 
nanh	n a˨˥ n 
nao	n aː˨˥ w 
nay	n a˨˥ j 
nem	n ɛː˨˥ m 
neo	n ɛː˨˥ w 
neon	n ɛː˨˥ w 
net	n ɛː˨˥ k 
nga	ŋ aː˨˥ 
ngai	ŋ aː˨˥ j 
ngan	ŋ aː˨˥ ŋ 
ngang	ŋ aː˨˥ ŋ 
ngao	ŋ aː˨˥ w 
ngay	ŋ a˨˥ j 
nghe	ŋ ɛː˨˥ 
nghen	ŋ ɛː˨˥ ŋ 
nghi	ŋ iː˨˨ 
nghiêm	ŋ iə˨˨ m 
nghiên	ŋ iə˨˨ n 
nghiêng	ŋ iə˨˨ ŋ 
nghiếm	ŋ iə˨˦ m 
nghiến	ŋ iə˨˦ n 
nghiềm	ŋ iə˨˨ m 
nghiền	ŋ iə˨˨ n 
nghiệm	ŋ iə˨˩ˀ m 
nghiện	ŋ iə˨˩ˀ n 
nghiệp	ŋ iə˨˩ p 
nghiệt	ŋ iə˨˩ t 
nghè	ŋ ɛː˦˨ 
nghèo	ŋ ɛː˦˨ w 
nghé	ŋ ɛː˦˥ 
nghén	ŋ ɛː˦˥ ŋ 
nghê	ŋ eː˨˥ 
nghênh	ŋ e˨˨ ɲ 
nghêu	ŋ eː˨˥ w 
nghìm	ŋ iː˨˨ m 
nghìn	ŋ iː˨˨ n 
nghía	ŋ iə˦˥ 
nghĩ	ŋ iː˨ˀ˥ 
nghĩa	ŋ iə˨ˀ˥ 
nghĩnh	ŋ i˨ˀ˥ ɲ 
nghẹ	ŋ ɛː˨˩ 
nghẹn	ŋ ɛː˨˩ ŋ 
nghẹo	ŋ ɛː˨˩ w 
nghẹt	ŋ ɛː˨˩ k 
nghẽn	ŋ ɛː˨ˀ˥ n 
nghếch	ŋ e˦˥ c 
nghề	ŋ eː˦˨ 
nghệ	ŋ eː˨˩ 
nghỉ	ŋ iː˨˩˨ 
nghị	ŋ iː˨˩ˀ 
nghịch	ŋ i˨˩ c 
nghịt	ŋ iː˨˩ t 
nghịu	ŋ iː˨˩ˀ w 
ngoa	ŋ w aː˨˥ 
ngoan	ŋ w aː˨˥ ŋ 
ngoc	ŋ ɔ˨˥ kp 
ngoi	ŋ ɔː˨˥ j 
ngon	ŋ ɔː˨˥ ŋ 
ngoài	ŋ w aː˦˨ j 
ngoái	ŋ w aː˦˥ j 
ngoáy	ŋ w a˦˥ j 
ngoãn	ŋ w aː˨ˀ˥ n 
ngoèo	ŋ w ɛː˦˨ w 
ngoé	ŋ w ɛː˦˥ 
ngoém	ŋ w ɛː˦˥ m 
ngoại	ŋ w aː˨˩ j 
ngoạm	ŋ w aː˨˩ m 
ngoạn	ŋ w aː˨˩ ŋ 
ngoải	ŋ w aː˨˨ˀ j 
ngoảnh	ŋ w a˨˨ˀ n 
ngoảy	ŋ w a˨˨ˀ j 
ngoắc	ŋ w a˦˥ k 
ngoắt	ŋ w a˦˥ k 
ngoằn	ŋ w a˦˨ ŋ 
ngoẵng	ŋ w a˨ˀ˥ ŋ 
ngoặc	ŋ w a˨˩ k 
ngoặt	ŋ w a˨˩ k 
ngoẹo	ŋ w ɛː˨˩ w 
ngu	ŋ uː˨˨ 
nguy	ŋ w iː˨˨ 
nguyên	ŋ w iə˨˨ n 
nguyền	ŋ w iə˨˨ n 
nguyển	ŋ w iə˨˩˨ n 
nguyễn	ŋ w iə˨ˀ˥ n 
nguyện	ŋ w iə˨˩ˀ n 
nguyệt	ŋ w iə˨˩ t 
nguôi	ŋ uə˨˨ j 
nguồn	ŋ uə˨˨ n 
nguội	ŋ uə˨˩ˀ j 
nguỵ	ŋ w iː˨˩ˀ 
ngà	ŋ aː˦˨ 
ngài	ŋ aː˦˨ j 
ngàn	ŋ aː˦˨ ŋ 
ngành	ŋ a˦˨ n 
ngào	ŋ aː˦˨ w 
ngày	ŋ a˦˨ j 
ngác	ŋ aː˦˥ k 
ngách	ŋ a˦˥ c 
ngái	ŋ aː˦˥ j 
ngám	ŋ aː˦˥ m 
ngán	ŋ aː˦˥ ŋ 
ngáo	ŋ aː˦˥ w 
ngáp	ŋ aː˦˥ p 
ngát	ŋ aː˦˥ k 
ngáy	ŋ a˦˥ j 
ngâm	ŋ ə˨˥ m 
ngân	ŋ ə˨˥ ŋ 
ngâu	ŋ ə˨˥ w 
ngây	ŋ ə˨˥ j 
ngã	ŋ aː˨ˀ˥ 
ngãi	ŋ aː˨ˀ˥ j 
ngò	ŋ ɔː˦˨ 
ngòi	ŋ ɔː˦˨ j 
ngó	ŋ ɔː˦˥ 
ngóc	ŋ ɔ˦˥ kp 
ngói	ŋ ɔː˦˥ j 
ngón	ŋ ɔː˦˥ ŋ 
ngóng	ŋ ɔ˦˥ ŋm 
ngót	ŋ ɔː˦˥ k 
ngô	ŋ oː˨˥ 
ngôi	ŋ oː˨˥ j 
ngôn	ŋ oː˨˨ n 
ngông	ŋ o˨˨ ŋm 
ngõ	ŋ ɔː˨ˀ˥ 
ngõi	ŋ ɔː˨ˀ˥ j 
ngù	ŋ uː˨˨ 
ngùi	ŋ uː˨˨ j 
ngùng	ŋ u˦˨ ŋm 
ngút	ŋ uː˦˥ t 
ngăm	ŋ a˨˥ m 
ngăn	ŋ a˨˥ ŋ 
ngũ	ŋ uː˨ˀ˥ 
ngơ	ŋ əː˨˥ 
ngơi	ŋ əː˨˥ j 
ngư	ŋ ɨː˨˨ 
ngưng	ŋ ɨ˨˥ ŋ 
ngươi	ŋ ɨə˨˨ j 
ngước	ŋ ɨə˦˥ k 
người	ŋ ɨə˨˨ j 
ngưỡng	ŋ ɨə˨ˀ˥ ŋ 
ngược	ŋ ɨə˨˩ k 
ngượng	ŋ ɨə˨˩ˀ ŋ 
ngạc	ŋ aː˨˩ k 
ngại	ŋ aː˨˩ j 
ngạo	ŋ aː˨˩ w 
ngạt	ŋ aː˨˩ k 
ngả	ŋ aː˨˨ˀ 
ngải	ŋ aː˨˨ˀ j 
ngấm	ŋ ə˦˥ m 
ngấn	ŋ ə˦˥ ŋ 
ngất	ŋ ə˦˥ k 
ngấu	ŋ ə˦˥ w 
ngấy	ŋ ə˦˥ j 
ngầm	ŋ ə˦˨ m 
ngần	ŋ ə˦˨ ŋ 
ngầu	ŋ ə˦˨ w 
ngẩm	ŋ ə˨˨ˀ m 
ngẩn	ŋ ə˨˨ˀ ŋ 
ngẩng	ŋ ə˨˨ˀ ŋ 
ngẫm	ŋ ə˨ˀ˥ m 
ngẫu	ŋ ə˨ˀ˥ w 
ngậm	ŋ ə˨˩ m 
ngập	ŋ ə˨˩ p 
ngậy	ŋ ə˨˩ j 
ngắm	ŋ a˦˥ m 
ngắn	ŋ a˦˥ ŋ 
ngắt	ŋ a˦˥ k 
ngặt	ŋ a˨˩ k 
ngọ	ŋ ɔː˨˩ 
ngọc	ŋ ɔ˨˩ kp 
ngọn	ŋ ɔː˨˩ ŋ 
ngọng	ŋ ɔ˨˩ ŋm 
ngọt	ŋ ɔː˨˩ k 
ngỏ	ŋ ɔː˨˨ˀ 
ngố	ŋ oː˦˥ 
ngốc	ŋ o˦˥ kp 
ngốn	ŋ oː˨˦ n 
ngồi	ŋ oː˦˨ j 
ngổn	ŋ oː˨˩˨ n 
ngỗng	ŋ o˨ˀ˥ ŋm 
ngộ	ŋ oː˨˩ 
ngộp	ŋ oː˨˩ p 
ngột	ŋ oː˨˩ t 
ngớ	ŋ əː˦˥ 
ngớp	ŋ əː˦˥ p 
ngớt	ŋ əː˦˥ k 
ngờ	ŋ əː˦˨ 
ngời	ŋ əː˦˨ j 
ngỡ	ŋ əː˨ˀ˥ 
ngợi	ŋ əː˨˩ j 
ngợm	ŋ əː˨˩ m 
ngợp	ŋ əː˨˩ p 
ngụ	ŋ uː˨˩ˀ 
ngục	ŋ u˨˩ kp 
ngụm	ŋ uː˨˩ˀ m 
ngụp	ŋ uː˨˩ p 
ngụy	ŋ uː˨˩ˀ j 
ngủ	ŋ uː˨˩˨ 
ngủi	ŋ uː˨˩˨ j 
ngủm	ŋ uː˨˩˨ m 
ngủn	ŋ uː˨˩˨ n 
ngứa	ŋ ɨə˦˥ 
ngừ	ŋ ɨː˨˨ 
ngừa	ŋ ɨə˦˨ 
ngừng	ŋ ɨ˦˨ ŋ 
ngửa	ŋ ɨə˨˨ˀ 
ngửi	ŋ ɨ˨˨ˀ j 
ngữ	ŋ ɨː˨ˀ˥ 
ngự	ŋ ɨː˨˩ˀ 
ngựa	ŋ ɨə˨˩ 
ngực	ŋ ɨ˨˩ k 
nha	ɲ aː˨˥ 
nhai	ɲ aː˨˥ j 
nhan	ɲ aː˨˥ ŋ 
nhang	ɲ aː˨˥ ŋ 
nhanh	ɲ a˨˥ n 
nhao	ɲ aː˨˥ w 
nhat	ɲ aː˨˥ k 
nhau	ɲ a˨˥ w 
nhe	ɲ ɛː˨˥ 
nheo	ɲ ɛː˨˥ w 
nhi	ɲ iː˨˨ 
nhiên	ɲ iə˨˨ n 
nhiêu	ɲ iə˨˨ w 
nhiếc	ɲ iə˦˥ k 
nhiếp	ɲ iə˦˥ p 
nhiều	ɲ iə˨˨ w 
nhiễm	ɲ iə˨ˀ˥ m 
nhiễu	ɲ iə˨ˀ˥ w 
nhiệm	ɲ iə˨˩ˀ m 
nhiệt	ɲ iə˨˩ t 
nho	ɲ ɔː˨˥ 
nhoi	ɲ ɔː˨˥ j 
nhoà	ɲ w aː˦˨ 
nhoáng	ɲ w aː˦˥ ŋ 
nhoét	ɲ w ɛː˦˥ k 
nhoẻn	ɲ w ɛː˨˨ˀ ŋ 
nhu	ɲ uː˨˨ 
nhung	ɲ u˨˥ ŋm 
nhuyễn	ɲ w iə˨ˀ˥ n 
nhuận	ɲ w ə˨˩ ŋ 
nhuốm	ɲ uə˨˦ m 
nhuộm	ɲ uə˨˩ˀ m 
nhuỵ	ɲ w iː˨˩ˀ 
nhà	ɲ aː˦˨ 
nhài	ɲ aː˦˨ j 
nhàm	ɲ aː˦˨ m 
nhàn	ɲ aː˦˨ ŋ 
nhàng	ɲ aː˦˨ ŋ 
nhành	ɲ a˦˨ n 
nhào	ɲ aː˦˨ w 
nhàu	ɲ a˦˨ w 
nhá	ɲ aː˦˥ 
nhác	ɲ aː˦˥ k 
nhách	ɲ a˦˥ c 
nhái	ɲ aː˦˥ j 
