<eps>	sil 
chú	c u˦˥ 
chúa	c uə˦˥ 
chúc	c u˦˥ kp 
chúi	c u˦˥ j 
chúng	c u˦˥ ŋm 
chút	c u˦˥ kp 
chăm	c a˨˥ m 
chăn	c a˨˥ ŋ 
chăng	c a˨˥ ŋ 
chĩa	c iə˨˨ˀ 
chơi	c əː˨˥ j 
chư	c ɨ˨˥ 
chưa	c ɨə˨˥ 
chưng	c ɨ˨˥ ŋ 
chương	c ɨː˨˥ ŋ 
chước	c ɨː˦˥ k 
chướng	c ɨː˦˥ ŋ 
chường	c ɨː˦˨ ŋ 
chưởng	c ɨː˨˨ˀ ŋ 
chạc	c aː˨˩ k 
chạm	c aː˨˩ m 
chạng	c aː˨˩ ŋ 
chạnh	c a˨˩ n 
chạo	c aː˨˩ w 
chạp	c aː˨˩ p 
chạy	c a˨˩ j 
chả	c aː˨˨ˀ 
chải	c aː˨˨ˀ j 
chảnh	c a˨˨ˀ n 
chảo	c aː˨˨ˀ w 
chảy	c a˨˨ˀ j 
chấm	c ə˦˥ m 
chấn	c ə˦˥ ŋ 
chấp	c ə˦˥ p 
chất	c ə˦˥ k 
chấy	c ə˦˥ j 
chầu	c ə˦˨ w 
chẩn	c ə˨˨ˀ ŋ 
chậc	c ə˨˩ k 
chậm	c ə˨˩ m 
chập	c ə˨˩ p 
chật	c ə˨˩ k 
chậu	c ə˨˩ w 
chắc	c a˦˥ k 
chắn	c a˦˥ ŋ 
chắp	c a˦˥ p 
chắt	c a˦˥ k 
chằm	c a˦˨ m 
chằn	c a˦˨ ŋ 
chằng	c a˦˨ ŋ 
chẳng	c a˨˨ˀ ŋ 
chẵn	c a˨˨ˀ ŋ 
chặc	c a˨˩ k 
chặn	c a˨˩ ŋ 
chặng	c a˨˩ ŋ 
chặt	c a˨˩ k 
chẹt	c ɛː˨˩ k 
chẻ	c ɛː˨˨ˀ 
chẽ	c ɛː˨˨ˀ 
chẽn	c ɛː˨˨ˀ ŋ 
chế	c eː˦˥ 
chết	c əː˦˥ t 
chệch	c əː˨˩ t 
chỉ	c i˨˨ˀ 
chỉnh	c ɨ˨˨ˀ n 
chị	c i˨˩ 
chịch	c ɨ˨˩ t 
chịu	c i˨˩ w 
chọc	c ɔ˨˩ kp 
chọi	c ɔː˨˩ j 
chọn	c ɔː˨˩ ŋ 
